"Plot Title: 20181760"
"#","Date","Time, GMT-07:00","Temp, °F (LGR S/N: 20181760, SEN S/N: 20181760)","Coupler Attached (LGR S/N: 20181760)","Host Connected (LGR S/N: 20181760)","Stopped (LGR S/N: 20181760)","End Of File (LGR S/N: 20181760)"
1,07/04/18,08:00:00 AM,66.193,,,,
2,07/04/18,08:30:00 AM,67.564,,,,
3,07/04/18,09:00:00 AM,68.421,,,,
4,07/04/18,09:30:00 AM,67.050,,,,
5,07/04/18,10:00:00 AM,66.537,,,,
6,07/04/18,10:30:00 AM,66.537,,,,
7,07/04/18,11:00:00 AM,65.509,,,,
8,07/04/18,11:30:00 AM,64.481,,,,
9,07/04/18,12:00:00 PM,64.652,,,,
10,07/04/18,12:30:00 PM,66.366,,,,
11,07/04/18,01:00:00 PM,65.509,,,,
12,07/04/18,01:30:00 PM,64.996,,,,
13,07/04/18,02:00:00 PM,64.481,,,,
14,07/04/18,02:30:00 PM,64.310,,,,
15,07/04/18,03:00:00 PM,66.537,,,,
16,07/04/18,03:30:00 PM,65.167,,,,
17,07/04/18,04:00:00 PM,64.310,,,,
18,07/04/18,04:30:00 PM,64.652,,,,
19,07/04/18,05:00:00 PM,64.139,,,,
20,07/04/18,05:30:00 PM,64.139,,,,
21,07/04/18,06:00:00 PM,62.598,,,,
22,07/04/18,06:30:00 PM,64.652,,,,
23,07/04/18,07:00:00 PM,64.652,,,,
24,07/04/18,07:30:00 PM,63.968,,,,
25,07/04/18,08:00:00 PM,64.996,,,,
26,07/04/18,08:30:00 PM,65.338,,,,
27,07/04/18,09:00:00 PM,66.193,,,,
28,07/04/18,09:30:00 PM,66.193,,,,
29,07/04/18,10:00:00 PM,66.537,,,,
30,07/04/18,10:30:00 PM,66.879,,,,
31,07/04/18,11:00:00 PM,66.879,,,,
32,07/04/18,11:30:00 PM,67.050,,,,
33,07/05/18,12:00:00 AM,67.050,,,,
34,07/05/18,12:30:00 AM,67.050,,,,
35,07/05/18,01:00:00 AM,67.050,,,,
